map_name,hero,Healing Done,Time Played,Healing per Second
Havana,Baptiste,1479615.022459729,80378.02343327235,18.408203626555526
Havana,Brigitte,671268.7087184911,47047.73185544323,14.267822958628518
Havana,Lúcio,827790.9403964557,82515.72110011612,10.031917910431869
Havana,Mercy,343970.9070817302,26967.20858710452,12.755154319020399
Havana,Moira,423219.73252226587,16375.342017316323,25.84494003696085
Havana,Zenyatta,976084.2441208884,80795.49329476886,12.08092437235092
Hollywood,Ana,866838.2425253764,58978.561439756944,14.69751417064995
Hollywood,Baptiste,1018509.7487856795,55643.72561267251,18.304125713568688
Hollywood,Brigitte,1527361.5909654591,106562.50656771957,14.333011113949668
Hollywood,Lúcio,1102143.4498649817,109229.88266260865,10.090127563986345
Hollywood,Mercy,936490.4615072935,60499.56627661184,15.479292152699708
Hollywood,Moira,677681.3864419872,26802.021287291063,25.28471189459614
Hollywood,Zenyatta,1786622.8639831631,133558.6896069756,13.37706194363448
Horizon Lunar Colony,Ana,440733.1614220201,33851.581011459995,13.0195739239717
Horizon Lunar Colony,Baptiste,107068.08760587,7073.173672272999,15.137206092588864
Horizon Lunar Colony,Brigitte,1023378.8651459998,74694.19367074998,13.700915892566249
Horizon Lunar Colony,Lúcio,820304.1846192805,85624.15074198095,9.580289877457329
Horizon Lunar Colony,Mercy,1605107.7857595987,101407.05391526296,15.82836423885115
Horizon Lunar Colony,Moira,446770.68047205993,19696.714987572006,22.682497094259517
Horizon Lunar Colony,Zenyatta,1580244.8833514296,127823.68380135002,12.362692392806315
Ilios,Ana,1213005.5074572149,83057.21773465838,14.604456307847741
Ilios,Baptiste,538354.84699088,29528.066141742314,18.23197104770215
Ilios,Brigitte,1687417.1131738503,112586.09163317796,14.987793684780385
Ilios,Lúcio,1785138.9823141934,166977.99310042724,10.690863802875745
Ilios,Mercy,1958050.3043137973,123085.69008074299,15.908025563567428
Ilios,Moira,1214663.2666391395,51724.867079835596,23.483158782493295
Ilios,Zenyatta,1977097.7295174808,154874.95594703994,12.76576782493844
Junkertown,Ana,635991.3248898083,45874.71057476197,13.863658580544804
Junkertown,Baptiste,877463.4670721923,55066.375679448705,15.93465079634195
Junkertown,Brigitte,560920.147826967,41422.498979802105,13.541436698458861
Junkertown,Lúcio,567756.7661965925,59163.874766911315,9.59634182908728
Junkertown,Mercy,2715450.4667761764,160284.21295392295,16.94147175652782
Junkertown,Moira,291232.99127189995,12874.438524156743,22.6210246548189
Junkertown,Zenyatta,1452586.6553372098,135930.59816410186,10.686237498812286
King's Row,Ana,1574599.6391662844,95037.4271630789,16.568205665588565
King's Row,Baptiste,1906640.8068398768,99912.89122637849,19.083031062727322
King's Row,Brigitte,2113257.030746736,141071.002891684,14.980095040292015
King's Row,Lúcio,2344375.93663005,222206.35068825976,10.550445247710533
King's Row,Mercy,2008590.646007404,119446.71306219863,16.815788350421037
