map_name,hero,Damage Blocked,Time Played,Damage Blocked per Second
Hanamura,All Heroes,12726598.786171585,1892654.0328856118,6.724207681405002
Hanamura,Brigitte,482654.44167080935,98032.31637330935,4.923421780965064
Hanamura,D.Va,2929826.5062911734,214813.84109965037,13.638909351898098
Hanamura,Mei,565514.6016828853,64410.13747290937,8.77990055401975
Hanamura,Orisa,2830716.691760019,94063.46918215136,30.09368797868185
Hanamura,Reinhardt,1945428.398796471,69067.23322656358,28.16716853873119
Hanamura,Sigma,1327547.0478460535,60162.52896717419,22.06601136349152
Hanamura,Symmetra,52288.09167965448,6946.491755255949,7.5272660678092
Hanamura,Winston,2127558.235870716,132914.45769654005,16.006973753962807
Hanamura,Zarya,441467.9832282449,45131.639780103214,9.78178469426832
Havana,All Heroes,9302157.694222305,1031609.395623605,9.017131613656133
Havana,Brigitte,258943.3265493133,47047.73185544323,5.503842934340194
Havana,D.Va,1096794.7457416411,70379.34964092856,15.58404207111071
Havana,Mei,649247.7485112875,69909.45554187114,9.286980473226988
Havana,Orisa,3150787.9127241904,74325.67687000369,42.39164775095083
Havana,Reinhardt,2484020.687363807,76020.89868750365,32.67549753094581
Havana,Sigma,961389.4806282744,40467.78804975258,23.75690708487222
Havana,Symmetra,20199.733878207313,2062.383055006159,9.794365711634006
Havana,Winston,181609.16719954793,9802.161097525928,18.52746199461935
Havana,Zarya,498184.05594325694,44359.4500392811,11.23061840266518
Hollywood,All Heroes,11630674.19136433,1452338.0224052079,8.008241891307675
Hollywood,Brigitte,568704.3626882886,106562.50656771957,5.336814804810187
Hollywood,D.Va,2280931.638939908,151111.34229662552,15.094377458857657
Hollywood,Mei,251313.78398073,31459.54755159931,7.988474200670885
Hollywood,Orisa,2709730.669503211,73947.83508509208,36.64381339068429
Hollywood,Reinhardt,2533872.2882411014,73644.12539554929,34.406984598315795
Hollywood,Sigma,1146971.4589789775,49431.496558607025,23.203251748995783
Hollywood,Symmetra,150.2,289.12231881300005,0.5195033044029613
Hollywood,Winston,1304000.6706520803,74887.08516379002,17.41289125888693
Hollywood,Zarya,786580.9847397822,69711.43752717713,11.28338494573623
Horizon Lunar Colony,All Heroes,8444166.245169405,1175223.179557196,7.185159714388055
Horizon Lunar Colony,Brigitte,460440.7988032901,74694.19367074998,6.164345261331836
Horizon Lunar Colony,D.Va,2247137.203017999,155467.728115961,14.454042843810605
Horizon Lunar Colony,Mei,84361.37560212,9902.149709979001,8.519501125811487
Horizon Lunar Colony,Orisa,1277704.5833156,43439.13746631998,29.413672964990454
Horizon Lunar Colony,Reinhardt,2210763.5985710006,66145.33982479302,33.42281715426834
Horizon Lunar Colony,Sigma,224007.45697899998,8254.931107078,27.13619945137155
Horizon Lunar Colony,Symmetra,12293.642144000001,1567.054081599,7.845065647929483
Horizon Lunar Colony,Winston,1233674.4852981,79001.01646557901,15.615931800518235
Horizon Lunar Colony,Zarya,693783.1014444698,63287.61673499102,10.96238312069168
Ilios,All Heroes,12602310.280735932,1961940.8475979934,6.4233895207212575
Ilios,Brigitte,630996.6964216974,112586.09163317796,5.6045705758894035
Ilios,D.Va,3374019.0473079686,250302.57957193404,13.479761387510251
Ilios,Mei,209154.46442511387,29990.2584248928,6.974080098339849
Ilios,Orisa,2350728.599950969,66663.25459272489,35.2627337850905
Ilios,Reinhardt,1902556.953514844,58917.00091443285,32.29215547271308
Ilios,Sigma,591586.5187375669,26079.295232630775,22.6841451603863
Ilios,Symmetra,4617.8464079,1716.994720313903,2.6894936561341085
Ilios,Winston,2678624.0637562745,163009.85186944576,16.432283282494968
Ilios,Zarya,828239.094869401,76874.79571457022,10.773870514655862
Junkertown,All Heroes,14454297.942390276,1620969.8167932245,8.917067913692131
Junkertown,Brigitte,224840.55885632138,41422.498979802105,5.42798151714495
Junkertown,D.Va,2959331.302519009,177732.75601712504,16.650455261234285
Junkertown,Mei,309389.86429068045,38569.64158237209,8.021590338866003
Junkertown,Orisa,7365626.4107004,168489.7683308935,43.71557088401476
Junkertown,Reinhardt,1373175.6544671096,43117.451747421976,31.84732860631572
Junkertown,Sigma,988823.947467207,42972.50992848658,23.010616533983583
Junkertown,Symmetra,4412.6886763,607.324519583,7.2657838338716045
Junkertown,Winston,905753.6373339315,53027.76536083601,17.08074310072439
Junkertown,Zarya,304071.61298499996,28169.147531321007,10.794491123556567
King's Row,All Heroes,24056167.21005603,2621192.230704183,9.177566959136508
King's Row,Brigitte,746136.1841437141,141071.002891684,5.289082581461524
King's Row,D.Va,3990964.740793053,235255.17827297194,16.96440762788331
King's Row,Mei,973744.1327398226,98266.33050495811,9.909234706700394
King's Row,Orisa,5679399.892045583,141958.14042706194,40.00756754744655
King's Row,Reinhardt,6728400.858904243,188708.81865712782,35.65493603735249
King's Row,Sigma,2814638.349052226,107039.3825620032,26.295352997032005
King's Row,Symmetra,18569.74361489264,2452.5806881250437,7.5715117976766315
King's Row,Winston,1341265.5331097613,75109.19987611636,17.85753989287622
King's Row,Zarya,1735156.4640233447,150958.96130705686,11.494226304948956
Lijiang Tower,All Heroes,16530436.509220872,1994768.343539904,8.286895349404862
Lijiang Tower,Brigitte,386752.25300589774,64193.20446121717,6.024816119587194
Lijiang Tower,D.Va,3449305.020604683,201597.5854907964,17.109852839790857
Lijiang Tower,Mei,787791.9608276483,68265.47269109685,11.540123136514834
Lijiang Tower,Orisa,3022909.4716872415,82335.60741205567,36.71448558773398
Lijiang Tower,Reinhardt,4315879.37885955,123589.38168434006,34.92111797988235
Lijiang Tower,Sigma,1357390.2527394397,51347.7477397194,26.435244241286316
Lijiang Tower,Symmetra,252592.2568854522,26380.906394768306,9.574813431563697
Lijiang Tower,Winston,1944559.5495209051,107735.93995943855,18.049311587693126
Lijiang Tower,Zarya,989154.0953145388,84749.72529573855,11.671472584280767
Nepal,All Heroes,11653087.74653541,1542600.4312867816,7.554184162139008
