map_name,hero,All Damage Done,Time Played,Damage per Second
Route 66,Ashe,502951.6248380473,19308.96610837428,26.047568886659224
Route 66,Hanzo,993254.9541843482,41616.72776386685,23.86672397263122
Route 66,McCree,434404.8875381663,22321.330671569194,19.46142431783739
Route 66,Widowmaker,1044757.791965525,73822.48247891801,14.152298282083423
Temple of Anubis,Ashe,1456064.5508604094,52253.45073500676,27.86542382137705
Temple of Anubis,Hanzo,453057.3395403641,18283.131054166548,24.780073948937577
Temple of Anubis,McCree,492310.486762694,21399.72330084989,23.005460390375323
Temple of Anubis,Widowmaker,787495.213612205,51822.1084711242,15.196124527642585
Volskaya Industries,Ashe,1704528.8092030867,66697.8687468035,25.555971146151144
Volskaya Industries,Hanzo,838300.0012368369,37660.60258795415,22.259335847827607
Volskaya Industries,McCree,578544.1389453432,28469.59870203168,20.321471510733183
Volskaya Industries,Widowmaker,1119789.2592308172,83215.6080806669,13.456481122451505
Watchpoint: Gibraltar,Ashe,680359.8755735027,25580.2178422959,26.597110304844787
Watchpoint: Gibraltar,Hanzo,356268.01092572475,16977.394883475015,20.98484563568107
Watchpoint: Gibraltar,McCree,379133.05720875954,16777.245275185738,22.598051765358257
Watchpoint: Gibraltar,Widowmaker,1790760.721972842,115283.09221585766,15.533593760824846
